iter	Passed	Remaining
0	141	141820
1	142	71220
2	143	47673
3	144	35915
4	145	28862
5	145	24151
6	146	20788
7	147	18266
8	148	16306
9	148	14735
10	150	13502
11	151	12442
12	151	11532
13	152	10751
14	153	10073
15	154	9482
16	155	8965
17	155	8500
18	156	8084
19	157	7708
20	158	7369
21	158	7061
22	159	6779
23	160	6520
24	161	6283
25	161	6064
26	162	5861
27	163	5670
28	164	5494
29	165	5348
30	166	5196
31	167	5052
32	167	4916
33	168	4791
34	169	4671
35	170	4556
36	170	4447
37	171	4344
38	172	4247
39	173	4155
40	173	4067
41	174	3984
42	175	3904
43	176	3828
44	176	3755
45	177	3685
46	178	3617
47	179	3556
48	180	3506
49	181	3447
50	182	3390
51	183	3338
52	183	3286
53	184	3234
54	185	3186
55	186	3137
56	186	3092
57	187	3048
58	188	3005
59	189	2963
60	189	2923
61	190	2884
62	191	2846
63	192	2810
64	192	2774
65	193	2740
66	195	2715
67	195	2680
68	196	2649
69	197	2620
70	197	2590
71	198	2561
72	199	2533
73	200	2505
74	200	2478
75	201	2451
76	202	2426
77	203	2401
78	203	2376
79	204	2352
80	205	2329
81	206	2306
82	206	2284
83	207	2262
84	207	2238
85	208	2218
86	209	2201
87	210	2185
88	211	2167
89	212	2148
90	213	2129
91	213	2111
92	214	2093
93	215	2076
94	216	2059
95	216	2043
96	217	2026
97	218	2010
98	219	1995
99	219	1979
100	220	1964
101	221	1946
102	221	1931
103	222	1917
104	223	1903
105	224	1894
106	225	1882
107	226	1869
108	227	1856
109	227	1843
110	228	1830
111	229	1818
112	230	1806
113	230	1794
114	231	1781
115	232	1769
116	232	1757
117	233	1746
118	234	1733
119	234	1723
120	235	1712
121	236	1701
122	236	1689
123	237	1678
124	238	1668
125	239	1663
126	240	1654
127	241	1643
128	241	1633
129	242	1624
130	243	1614
131	244	1605
132	244	1596
133	245	1587
134	246	1578
135	247	1569
136	247	1561
137	248	1551
138	249	1543
139	249	1535
140	250	1526
141	251	1518
142	252	1510
143	252	1502
144	253	1495
145	254	1489
146	255	1482
147	256	1474
148	256	1467
149	257	1460
150	258	1452
151	259	1445
152	259	1438
153	260	1431
154	261	1424
155	262	1417
156	262	1410
157	263	1403
158	264	1397
159	264	1390
160	265	1384
161	266	1377
162	267	1371
163	267	1365
164	269	1362
165	270	1356
166	270	1350
167	271	1344
168	272	1338
169	273	1333
170	273	1327
171	274	1321
172	275	1315
173	275	1310
174	276	1304
175	277	1298
176	278	1293
177	278	1287
178	279	1282
179	280	1277
180	280	1270
181	281	1264
182	282	1260
183	283	1255
184	284	1251
185	284	1246
186	285	1240
187	286	1235
188	286	1229
189	287	1224
190	287	1219
191	288	1214
192	289	1209
193	289	1203
194	290	1198
195	291	1193
196	291	1188
197	292	1183
198	292	1178
199	293	1173
200	293	1168
201	294	1163
202	295	1158
203	295	1153
204	296	1148
205	296	1144
206	297	1140
207	298	1137
208	299	1133
209	299	1128
210	300	1124
211	301	1119
212	301	1115
213	302	1110
214	302	1106
215	303	1101
216	304	1097
217	304	1093
218	305	1088
219	305	1084
220	306	1080
221	306	1075
222	307	1071
223	308	1067
224	308	1063
225	309	1059
226	309	1055
227	310	1051
228	311	1047
229	311	1043
230	312	1039
231	313	1037
232	314	1034
233	314	1030
234	315	1026
235	315	1022
236	316	1018
237	317	1015
238	317	1011
239	318	1007
240	318	1003
241	319	1000
242	319	996
243	320	993
244	321	989
245	321	986
246	322	982
247	322	979
248	323	975
249	324	972
250	324	968
251	325	966
252	326	963
253	326	959
254	327	956
255	328	954
256	329	951
257	329	948
258	330	945
259	331	942
260	331	938
261	332	935
262	332	932
263	333	929
264	333	926
265	334	923
266	335	919
267	335	916
268	336	913
269	336	910
270	337	907
271	338	904
272	338	901
273	339	899
274	339	896
275	340	893
276	341	890
277	341	887
278	342	884
279	343	883
280	344	880
281	344	877
282	345	874
283	345	872
284	346	869
285	347	866
286	347	863
287	348	860
288	348	858
289	349	855
290	350	852
291	350	850
292	351	847
293	351	844
294	352	842
295	352	839
296	353	836
297	354	834
298	354	831
299	355	829
300	355	826
301	356	824
302	357	821
303	358	820
304	358	817
305	359	815
306	360	812
307	360	810
308	361	807
309	361	805
310	362	803
311	363	800
312	363	798
313	364	795
314	364	793
315	365	790
316	366	788
317	366	786
318	367	783
319	367	781
320	368	779
321	369	777
322	369	774
323	370	772
324	370	770
325	371	767
326	372	765
327	373	764
328	373	762
329	374	760
330	374	757
331	375	755
332	376	753
333	376	751
334	377	748
335	377	746
336	378	744
337	379	742
338	379	740
339	380	738
340	380	736
341	381	734
342	382	732
343	382	730
344	383	728
345	384	726
346	384	724
347	385	722
348	386	720
349	386	718
350	387	717
351	388	715
352	389	713
353	389	711
354	390	709
355	390	707
356	391	705
357	392	703
358	392	701
359	393	699
360	394	697
361	394	695
362	395	693
363	396	691
364	396	689
365	397	688
366	397	686
367	398	684
368	398	682
369	399	680
370	400	678
371	400	676
372	401	674
373	402	673
374	403	671
375	403	669
376	404	667
377	404	666
378	405	664
379	405	662
380	406	660
381	407	658
382	407	656
383	408	654
384	408	653
385	409	651
386	410	649
387	411	648
388	412	647
389	412	645
390	414	644
391	415	644
392	418	645
393	418	644
394	419	642
395	420	640
396	420	639
397	421	637
398	422	635
399	422	633
400	423	632
401	424	630
402	424	629
403	425	627
404	425	625
405	426	624
406	427	622
407	427	620
408	428	619
409	429	617
410	429	616
411	430	614
412	431	613
413	432	611
414	433	610
415	433	608
416	434	607
417	435	605
418	435	604
419	436	602
420	436	600
421	437	599
422	438	597
423	438	596
424	439	594
425	440	592
426	440	591
427	441	589
428	441	588
429	442	586
430	443	585
431	443	583
432	444	581
433	445	580
434	445	578
435	446	577
436	447	576
437	448	574
438	448	573
439	449	571
440	449	570
441	450	568
442	451	567
443	451	565
444	452	564
445	453	562
446	453	561
447	454	559
448	454	558
449	455	556
450	456	555
451	456	553
452	457	552
453	457	550
454	458	549
455	459	547
456	459	546
457	460	544
458	461	543
459	462	543
460	463	541
461	464	540
462	464	538
463	465	537
464	465	536
465	466	534
466	467	533
467	468	532
468	468	530
469	469	529
470	470	528
471	470	526
472	471	525
473	472	523
474	472	522
475	473	521
476	474	520
477	475	518
478	475	517
479	476	516
480	477	515
481	478	514
482	478	512
483	479	511
484	480	510
485	481	508
486	481	507
487	482	506
488	483	505
489	484	503
490	484	502
491	485	501
492	486	500
493	486	498
494	487	497
495	488	496
496	489	495
497	489	493
498	490	492
499	491	491
500	492	490
501	493	489
502	493	488
503	494	486
504	495	485
505	496	484
506	496	483
507	497	481
508	498	480
509	499	479
510	499	478
511	500	477
512	501	475
513	502	474
514	502	473
515	503	472
516	504	470
517	504	469
518	505	468
519	506	467
520	507	466
521	507	465
522	508	463
523	509	462
524	509	461
525	510	460
526	511	458
527	512	457
528	512	456
529	513	455
530	514	454
531	514	452
532	515	451
533	516	450
534	516	449
535	517	448
536	518	447
537	519	445
538	519	444
539	520	443
540	521	442
541	522	441
542	523	440
543	523	439
544	524	438
545	525	436
546	526	435
547	526	434
548	527	433
549	528	432
550	529	431
551	529	430
552	530	428
553	531	427
554	532	426
555	532	425
556	533	424
557	534	422
558	534	421
559	535	420
560	536	419
561	537	418
562	538	417
563	538	416
564	539	415
565	539	414
566	540	412
567	541	411
568	541	410
569	542	409
570	542	407
571	543	406
572	544	405
573	544	404
574	545	403
